IDX,SETUP,PUNCHLINE
0,Why did the old man fall down the well?,He couldn't see that well!
1,Why were the little strawberries upset?,They were in a jam!
2,What did the clock do when it was still hungry?,It went back 4 seconds!
3,What is the number one cause of dry skin?,Towels!
4,Where do pirates get their hooks?,Second-hand stores!
5,What do you call a cow with no legs?,Ground beef!
6,What do you call a belt made out of watches?,A waist of time!
7,Did you hear that the penny-making machine at the mint broke down?,It doesn't make any cents!
8,Why do seagulls fly over the sea?,Because if they flew over the bay theyd be bagels!
9,What do you call cheese thats not yours?,Nacho cheese!
10,What do you get when you cross a snowman and a vampire?,Frost bite!
11,What do you call a factory that makes okay products?,A satisfactory!
12,What do you get when you stick your finger in a pig's nose?, Ham-boogers!
13,Who steals noodles from the rich and gives them to the poor?, Ramen Hood!
14,What do you call fake spaghetti?, Impasta!
15,What do ticks and the Eiffel Tower have in common?,They're both Paris-sites!